TenPct_AGhipX	TenPct_AGhipY	TenPct_AGhipZ	TwentyFivePct_AGhipX	TwentyFivePct_AGhipY	TwentyFivePct_AGhipZ	FiftyPct_AGhipX	FiftyPct_AGhipY	FiftyPct_AGhipZ	SeventyFivePct_AGhipX	SeventyFivePct_AGhipY	SeventyFivePct_AGhipZ	NinetyPct_AGhipX	NinetyPct_AGhipY	NinetyPct_AGhipZ
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848	0.332	-0.379	0.848
